Name,Scientific Name,Climate of Growth,Life Span,Soil,Adequate Rainfall,Regions1,Regions2,Regions3,Season
Millet,Panicum miliaceum,Tropical,1 year,Sandy Loam,400-600 mm,Africa,Asia,South America,Summer
Buckwheat,Fagopyrum esculentum,Temperate,1 year,Sandy Loam,400-600 mm,Europe,Asia,North America,Summer
Flax,Linum usitatissimum,Temperate,1 year,Loamy,400-600 mm,Europe,Asia,North America,Spring
Cotton,Gossypium,Tropical,1-2 years,Loamy,700-1000 mm,Asia,Africa,South America,Summer
Tea,Camellia sinensis,Subtropical,30-50 years,Loamy,1200-1500 mm,Asia,Africa,South America,Year-round
Coffee,Coffea arabica,Subtropical,10-50 years,Sandy Loam,1000-1500 mm,Africa,South America,Asia,Summer
Tobacco,Nicotiana tabacum,Tropical,1 year,Loamy,600-800 mm,North America,Asia,South America,Summer
Cocoa,Theobroma cacao,Tropical,30-40 years,Loamy,1500-2000 mm,South America,Africa,Asia,Summer
Vanilla,Vanilla planifolia,Tropical,10-20 years,Loamy,1500-2000 mm,South America,Africa,Asia,Summer
Rubber,Hevea brasiliensis,Tropical,50-100 years,Loamy,1500-2500 mm,South America,Africa,Asia,Summer
Pineapple,Ananas comosus,Tropical,2-4 years,Sandy Loam,1000-1500 mm,South America,Africa,Asia,Summer
Kale,Brassica oleracea var. sabellica,Temperate,1-2 years,Loamy,600-900 mm,Europe,North America,Asia,Spring
Watermelon,Citrullus lanatus,Tropical,1 year,Sandy Loam,500-700 mm,Africa,Asia,South America,Summer
Sugarcane,Saccharum officinarum,Tropical,10-20 years,Loamy,1000-1500 mm,Asia,Africa,South America,Year-round
Cassava,Manihot esculenta,Tropical,10-20 years,Sandy Loam,1000-1500 mm,South America,Africa,Asia,Summer
Jute,Corchorus,Tropical,1 year,Sandy Loam,1500-2000 mm,Asia,Africa,South America,Summer
Hemp,Cannabis sativa,Temperate,1 year,Sandy Loam,500-700 mm,Asia,Europe,North America,Summer
Chickpea,Cicer arietinum,Temperate,1 year,Loamy,400-600 mm,Asia,Europe,North America,Summer
Lentil,Lens culinaris,Temperate,1 year,Loamy,400-600 mm,Asia,Europe,North America,Summer
Pea,Pisum sativum,Temperate,1 year,Loamy,400-600 mm,Europe,Asia,North America,Spring
Soybean,Glycine max,Temperate,1 year,Sandy Loam,600-800 mm,Asia,South America,North America,Summer
Alfalfa,Medicago sativa,Temperate,5-10 years,Loamy,500-700 mm,North America,Asia,Europe,Summer
Sesame,Sesamum indicum,Tropical,1 year,Sandy Loam,400-600 mm,Africa,Asia,South America,Summer
Sunflower Seed,Helianthus annuus,Tropical,1 year,Sandy Loam,600-800 mm,North America,Europe,Asia,Summer
Mustard Seed,Brassica nigra,Tropical,1 year,Loamy,600-900 mm,Asia,Europe,North America,Spring
Cumin,Cuminum cyminum,Temperate,1 year,Sandy Loam,400-600 mm,Asia,Africa,Europe,Summer
Fenugreek,Trigonella foenum-graecum,Temperate,1 year,Loamy,400-600 mm,Asia,Europe,North America,Summer
Pistachio,Pistacia vera,Temperate,50-150 years,Sandy Loam,400-600 mm,Asia,Europe,North America,Autumn
Walnut,Juglans,Temperate,50-200 years,Loamy,600-900 mm,Asia,Europe,North America,Autumn
Almond,Prunus dulcis,Temperate,20-50 years,Sandy Loam,600-900 mm,Asia,Europe,North America,Spring
Cashew,Anacardium occidentale,Tropical,20-40 years,Sandy Loam,700-1000 mm,South America,Africa,Asia,Summer
Hazelnut,Corylus avellana,Temperate,50-100 years,Loamy,600-900 mm,Europe,Asia,North America,Autumn
Macadamia,Macadamia integrifolia,Tropical,50-100 years,Sandy Loam,1000-1500 mm,Australia,South America,Africa,Summer
Pecan,Carya illinoinensis,Temperate,50-150 years,Sandy Loam,600-900 mm,North America,Asia,Europe,Autumn
Brazil Nut,Bertholletia excelsa,Tropical,50-100 years,Loamy,1500-2000 mm,South America,Africa,Asia,Summer
Avocado,Persea americana,Tropical,50-100 years,Sandy Loam,1200-1500 mm,South America,Africa,Asia,Summer
,,,,,,,,,
Buttercup,Ranunculus,Temperate,1-2 years,Sandy Loam,400-600 mm,Europe,Asia,North America,Spring
Camellia,Camellia japonica,Temperate,50-100 years,Loamy,700-1000 mm,Asia,Europe,North America,Winter
Cardamom,Elettaria cardamomum,Tropical,5-10 years,Sandy Loam,1500-2000 mm,Asia,Africa,South America,Summer
Carnation,Dianthus caryophyllus,Temperate,2-3 years,Loamy,500-700 mm,Europe,Asia,North America,Spring
Cassava,Manihot esculenta,Tropical,1-2 years,Sandy Loam,600-900 mm,South America,Africa,Asia,Summer
Castor Oil Plant,Ricinus communis,Tropical,1-3 years,Loamy,500-700 mm,Africa,Asia,South America,Year-round
Cedar,Cedrus,Temperate,200-300 years,Sandy Loam,600-800 mm,Europe,Asia,North America,Autumn
Chamomile,Matricaria chamomilla,Temperate,1 year,Sandy Loam,400-600 mm,Europe,Asia,North America,Spring
Chia,Salvia hispanica,Tropical,1-2 years,Sandy Loam,600-800 mm,South America,Asia,Africa,Summer
Chickpea,Cicer arietinum,Temperate,1 year,Loamy,400-600 mm,Asia,Europe,North America,Spring
Chicory,Cichorium intybus,Temperate,2-3 years,Sandy Loam,500-700 mm,Europe,Asia,North America,Spring
Chives,Allium schoenoprasum,Temperate,2-5 years,Loamy,400-600 mm,Europe,Asia,North America,Spring
Clove,Syzygium aromaticum,Tropical,20-50 years,Loamy,1500-2000 mm,Asia,Africa,South America,Summer
Clover,Trifolium,Temperate,1-2 years,Sandy Loam,500-700 mm,Europe,Asia,North America,Spring
Coffee,Coffea arabica,Tropical,10-15 years,Loamy,1000-1500 mm,Africa,Asia,South America,Summer
Cotton,Gossypium,Tropical,1 year,Sandy Loam,600-900 mm,Asia,Africa,South America,Summer
Cranberry,Vaccinium macrocarpon,Temperate,10-20 years,Peaty,600-800 mm,North America,Europe,Asia,Autumn
Cumin,Cuminum cyminum,Tropical,1 year,Sandy Loam,500-700 mm,Asia,Africa,South America,Summer
Daffodil,Narcissus,Temperate,2-3 years,Loamy,600-800 mm,Europe,Asia,North America,Spring
Date Palm,Phoenix dactylifera,Tropical,70-100 years,Sandy,1500-2000 mm,Africa,Asia,South America,Summer
Daphne,Daphne odora,Temperate,5-10 years,Loamy,500-800 mm,Asia,Europe,North America,Spring
Dragon Fruit,Hylocereus undatus,Tropical,5-10 years,Sandy Loam,800-1200 mm,South America,Asia,Africa,Summer
Durian,Durio zibethinus,Tropical,80-150 years,Loamy,1500-2000 mm,Asia,Africa,South America,Summer
Elderberry,Sambucus nigra,Temperate,15-30 years,Loamy,600-800 mm,Europe,Asia,North America,Autumn
Endive,Cichorium endivia,Temperate,1-2 years,Sandy Loam,500-700 mm,Europe,Asia,North America,Spring
Fig,Ficus carica,Tropical,50-100 years,Loamy,600-900 mm,Asia,North America,Africa,Summer
Flax,Linum usitatissimum,Temperate,1 year,Sandy Loam,500-800 mm,Europe,Asia,North America,Summer
Foxglove,Digitalis purpurea,Temperate,2-3 years,Sandy Loam,600-800 mm,Europe,Asia,North America,Spring
Freesia,Freesia,Tropical,1 year,Loamy,600-900 mm,Africa,Asia,Europe,Summer
Gardenia,Gardenia jasminoides,Tropical,5-10 years,Loamy,1000-1500 mm,Asia,Africa,South America,Summer
Ginger,Zingiber officinale,Tropical,1 year,Loamy,1500-2000 mm,Asia,Africa,South America,Summer
Ginseng,Panax ginseng,Temperate,10-20 years,Loamy,700-1000 mm,Asia,Europe,North America,Autumn
Gooseberry,Ribes uva-crispa,Temperate,5-10 years,Loamy,600-900 mm,Europe,Asia,North America,Spring
Gourd,Lagenaria siceraria,Tropical,1 year,Sandy Loam,500-700 mm,Asia,Africa,South America,Summer
Grape Hyacinth,Muscari,Temperate,2-3 years,Loamy,600-800 mm,Europe,Asia,North America,Spring
Guava,Psidium guajava,Tropical,20-40 years,Sandy Loam,700-900 mm,Asia,Africa,South America,Summer
Hawthorn,Crataegus monogyna,Temperate,100-150 years,Sandy Loam,500-700 mm,Europe,Asia,North America,Autumn
Hazelnut,Corylus avellana,Temperate,50-80 years,Sandy Loam,500-800 mm,Europe,Asia,North America,Summer
Hops,Humulus lupulus,Temperate,10-20 years,Sandy Loam,600-900 mm,Europe,Asia,North America,Summer
Hyacinth,Hyacinthus orientalis,Temperate,2-5 years,Sandy Loam,600-800 mm,Europe,Asia,North America,Spring
Jackfruit,Artocarpus heterophyllus,Tropical,50-100 years,Loamy,1000-1500 mm,Asia,Africa,South America,Summer
Jalapeno,Capsicum annuum,Tropical,1 year,Sandy Loam,600-900 mm,North America,Asia,Africa,Summer
Jojoba,Simmondsia chinensis,Tropical,100-200 years,Sandy Loam,300-500 mm,North America,Africa,Asia,Summer
Juniper,Juniperus communis,Temperate,200-400 years,Sandy Loam,600-900 mm,Europe,Asia,North America,Winter
Kale,Brassica oleracea var. sabellica,Temperate,1 year,Sandy Loam,500-700 mm,Europe,Asia,North America,Autumn
Kiwifruit,Actinidia deliciosa,Tropical,20-40 years,Sandy Loam,700-1000 mm,Asia,Europe,North America,Summer
Kohlrabi,Brassica oleracea var. gongylodes,Temperate,1 year,Sandy Loam,600-900 mm,Europe,Asia,North America,Summer
Lavender,Lavandula angustifolia,Temperate,5-10 years,Sandy Loam,500-800 mm,Europe,Asia,North America,Summer
Lentil,Lens culinaris,Temperate,1 year,Loamy,400-600 mm,Asia,Europe,North America,Spring
Licorice,Glycyrrhiza glabra,Temperate,5-10 years,Sandy Loam,500-800 mm,Asia,Europe,North America,AutumnName
Buttercup,Ranunculus,Temperate,1-2 years,Sandy Loam,400-600 mm,Europe,Asia,North America,Spring
Camellia,Camellia japonica,Temperate,50-100 years,Loamy,700-1000 mm,Asia,Europe,North America,Winter
Cardamom,Elettaria cardamomum,Tropical,5-10 years,Sandy Loam,1500-2000 mm,Asia,Africa,South America,Summer
Carnation,Dianthus caryophyllus,Temperate,2-3 years,Loamy,500-700 mm,Europe,Asia,North America,Spring
Cassava,Manihot esculenta,Tropical,1-2 years,Sandy Loam,600-900 mm,South America,Africa,Asia,Summer
Castor Oil Plant,Ricinus communis,Tropical,1-3 years,Loamy,500-700 mm,Africa,Asia,South America,Year-round
Cedar,Cedrus,Temperate,200-300 years,Sandy Loam,600-800 mm,Europe,Asia,North America,Autumn
Chamomile,Matricaria chamomilla,Temperate,1 year,Sandy Loam,400-600 mm,Europe,Asia,North America,Spring
Chia,Salvia hispanica,Tropical,1-2 years,Sandy Loam,600-800 mm,South America,Asia,Africa,Summer
Chickpea,Cicer arietinum,Temperate,1 year,Loamy,400-600 mm,Asia,Europe,North America,Spring
Chicory,Cichorium intybus,Temperate,2-3 years,Sandy Loam,500-700 mm,Europe,Asia,North America,Spring
Chives,Allium schoenoprasum,Temperate,2-5 years,Loamy,400-600 mm,Europe,Asia,North America,Spring
Clove,Syzygium aromaticum,Tropical,20-50 years,Loamy,1500-2000 mm,Asia,Africa,South America,Summer
Clover,Trifolium,Temperate,1-2 years,Sandy Loam,500-700 mm,Europe,Asia,North America,Spring
Coffee,Coffea arabica,Tropical,10-15 years,Loamy,1000-1500 mm,Africa,Asia,South America,Summer
Cotton,Gossypium,Tropical,1 year,Sandy Loam,600-900 mm,Asia,Africa,South America,Summer
Cranberry,Vaccinium macrocarpon,Temperate,10-20 years,Peaty,600-800 mm,North America,Europe,Asia,Autumn
Cumin,Cuminum cyminum,Tropical,1 year,Sandy Loam,500-700 mm,Asia,Africa,South America,Summer
Daffodil,Narcissus,Temperate,2-3 years,Loamy,600-800 mm,Europe,Asia,North America,Spring
Date Palm,Phoenix dactylifera,Tropical,70-100 years,Sandy,1500-2000 mm,Africa,Asia,South America,Summer
Daphne,Daphne odora,Temperate,5-10 years,Loamy,500-800 mm,Asia,Europe,North America,Spring
Dragon Fruit,Hylocereus undatus,Tropical,5-10 years,Sandy Loam,800-1200 mm,South America,Asia,Africa,Summer
Durian,Durio zibethinus,Tropical,80-150 years,Loamy,1500-2000 mm,Asia,Africa,South America,Summer
Elderberry,Sambucus nigra,Temperate,15-30 years,Loamy,600-800 mm,Europe,Asia,North America,Autumn
Endive,Cichorium endivia,Temperate,1-2 years,Sandy Loam,500-700 mm,Europe,Asia,North America,Spring
Fig,Ficus carica,Tropical,50-100 years,Loamy,600-900 mm,Asia,North America,Africa,Summer
Flax,Linum usitatissimum,Temperate,1 year,Sandy Loam,500-800 mm,Europe,Asia,North America,Summer
Foxglove,Digitalis purpurea,Temperate,2-3 years,Sandy Loam,600-800 mm,Europe,Asia,North America,Spring
Freesia,Freesia,Tropical,1 year,Loamy,600-900 mm,Africa,Asia,Europe,Summer
Gardenia,Gardenia jasminoides,Tropical,5-10 years,Loamy,1000-1500 mm,Asia,Africa,South America,Summer
Ginger,Zingiber officinale,Tropical,1 year,Loamy,1500-2000 mm,Asia,Africa,South America,Summer
Ginseng,Panax ginseng,Temperate,10-20 years,Loamy,700-1000 mm,Asia,Europe,North America,Autumn
Gooseberry,Ribes uva-crispa,Temperate,5-10 years,Loamy,600-900 mm,Europe,Asia,North America,Spring
Gourd,Lagenaria siceraria,Tropical,1 year,Sandy Loam,500-700 mm,Asia,Africa,South America,Summer
Grape Hyacinth,Muscari,Temperate,2-3 years,Loamy,600-800 mm,Europe,Asia,North America,Spring
Guava,Psidium guajava,Tropical,20-40 years,Sandy Loam,700-900 mm,Asia,Africa,South America,Summer
Hawthorn,Crataegus monogyna,Temperate,100-150 years,Sandy Loam,500-700 mm,Europe,Asia,North America,Autumn
Hazelnut,Corylus avellana,Temperate,50-80 years,Sandy Loam,500-800 mm,Europe,Asia,North America,Summer
Hops,Humulus lupulus,Temperate,10-20 years,Sandy Loam,600-900 mm,Europe,Asia,North America,Summer
Hyacinth,Hyacinthus orientalis,Temperate,2-5 years,Sandy Loam,600-800 mm,Europe,Asia,North America,Spring
Jackfruit,Artocarpus heterophyllus,Tropical,50-100 years,Loamy,1000-1500 mm,Asia,Africa,South America,Summer
Jalapeno,Capsicum annuum,Tropical,1 year,Sandy Loam,600-900 mm,North America,Asia,Africa,Summer
Jojoba,Simmondsia chinensis,Tropical,100-200 years,Sandy Loam,300-500 mm,North America,Africa,Asia,Summer
Juniper,Juniperus communis,Temperate,200-400 years,Sandy Loam,600-900 mm,Europe,Asia,North America,Winter
Kale,Brassica oleracea var. sabellica,Temperate,1 year,Sandy Loam,500-700 mm,Europe,Asia,North America,Autumn
Kiwifruit,Actinidia deliciosa,Tropical,20-40 years,Sandy Loam,700-1000 mm,Asia,Europe,North America,Summer
Kohlrabi,Brassica oleracea var. gongylodes,Temperate,1 year,Sandy Loam,600-900 mm,Europe,Asia,North America,Summer
Lavender,Lavandula angustifolia,Temperate,5-10 years,Sandy Loam,500-800 mm,Europe,Asia,North America,Summer
Lentil,Lens culinaris,Temperate,1 year,Loamy,400-600 mm,Asia,Europe,North America,Spring
Licorice,Glycyrrhiza glabra,Temperate,5-10 years,Sandy Loam,500-800 mm,Asia,Europe,North America,Autumn
Lilac,Syringa vulgaris,Temperate,30-50 years,Loamy,600-800 mm,Europe,Asia,North America,Spring
Lily of the Valley,Convallaria majalis,Temperate,10-15 years,Sandy Loam,500-800 mm,Europe,Asia,North America,Spring
Linden,Tilia cordata,Temperate,100-300 years,Sandy Loam,600-900 mm,Europe,Asia,North America,Autumn
Litchi,Litchi chinensis,Tropical,20-40 years,Sandy Loam,1000-1500 mm,Asia,Africa,South America,Summer
Loquat,Eriobotrya japonica,Tropical,20-30 years,Sandy Loam,600-900 mm,Asia,Africa,South America,Summer
Lychee,Litchi chinensis,Tropical,20-40 years,Sandy Loam,1000-1500 mm,Asia,Africa,South America,Summer
Magnolia,Magnolia grandiflora,Temperate,100-200 years,Loamy,600-900 mm,North America,Europe,Asia,Spring
Lilac,Syringa vulgaris,Temperate,30-50 years,Loamy,600-800 mm,Europe,Asia,North America,Spring
Lily of the Valley,Convallaria majalis,Temperate,10-15 years,Sandy Loam,500-800 mm,Europe,Asia,North America,Spring
Linden,Tilia cordata,Temperate,100-300 years,Sandy Loam,600-900 mm,Europe,Asia,North America,Autumn
Litchi,Litchi chinensis,Tropical,20-40 years,Sandy Loam,1000-1500 mm,Asia,Africa,South America,Summer
Loquat,Eriobotrya japonica,Tropical,20-30 years,Sandy Loam,600-900 mm,Asia,Africa,South America,Summer
Lychee,Litchi chinensis,Tropical,20-40 years,Sandy Loam,1000-1500 mm,Asia,Africa,South America,Summer
Magnolia,Magnolia grandiflora,Temperate,100-200 years,Loamy,600-900 mm,North America,Europe,Asia,Spring
Parsleys,Petroselinum crispum,"Mild to warm (50–70°F)",Biennial,"Well-draining, rich loamy soil, pH 5.5-7.0","1 inch per week (moderate watering)",Mediterranean,North America,"Europe and parts of Asia","Spring and fall"
